# 나눗셈 계산 100문항 답안

## 1부: 세자리수 ÷ 두자리수 (1-50번)

1. 713 ÷ 48 = 14...41
2. 544 ÷ 95 = 5...69
3. 305 ÷ 53 = 5...40
4. 268 ÷ 10 = 26...8
5. 344 ÷ 44 = 7...36
6. 511 ÷ 67 = 7...42
7. 161 ÷ 57 = 2...47
8. 908 ÷ 15 = 60...8
9. 297 ÷ 51 = 5...42
10. 749 ÷ 93 = 8...5
11. 678 ÷ 34 = 19...32
12. 611 ÷ 54 = 11...17
13. 592 ÷ 56 = 10...32
14. 908 ÷ 80 = 11...28
15. 447 ÷ 29 = 15...12
16. 388 ÷ 21 = 18...10
17. 174 ÷ 76 = 2...22
18. 525 ÷ 32 = 16...13
19. 425 ÷ 90 = 4...65
20. 840 ÷ 50 = 16...40
21. 188 ÷ 38 = 4...36
22. 932 ÷ 81 = 11...41
23. 834 ÷ 24 = 34...18
24. 802 ÷ 49 = 16...18
25. 698 ÷ 10 = 69...8
26. 670 ÷ 98 = 6...82
27. 299 ÷ 58 = 5...9
28. 176 ÷ 70 = 2...36
29. 753 ÷ 86 = 8...65
30. 789 ÷ 66 = 11...63
31. 265 ÷ 44 = 6...1
32. 705 ÷ 53 = 13...16
33. 123 ÷ 71 = 1...52
34. 841 ÷ 43 = 19...24
35. 956 ÷ 55 = 17...21
36. 402 ÷ 81 = 4...78
37. 224 ÷ 77 = 2...70
38. 184 ÷ 48 = 3...40
39. 794 ÷ 59 = 13...27
40. 910 ÷ 18 = 50...10
41. 227 ÷ 64 = 3...35
42. 340 ÷ 15 = 22...10
43. 766 ÷ 32 = 23...30
44. 752 ÷ 81 = 9...23
45. 300 ÷ 84 = 3...48
46. 343 ÷ 23 = 14...21
47. 877 ÷ 51 = 17...10
48. 703 ÷ 61 = 11...32
49. 705 ÷ 44 = 16...1
50. 417 ÷ 18 = 23...3

## 2부: 네자리수 ÷ 두자리수 (51-80번)

51. 9639 ÷ 75 = 128...39
52. 5844 ÷ 24 = 243...12
53. 7072 ÷ 28 = 252...16
54. 7372 ÷ 98 = 75...22
55. 8652 ÷ 34 = 254...16
56. 4626 ÷ 20 = 231...6
57. 6849 ÷ 53 = 129...12
58. 1412 ÷ 68 = 20...52
59. 1864 ÷ 35 = 53...9
60. 6631 ÷ 32 = 207...7
61. 8658 ÷ 45 = 192...18
62. 5021 ÷ 87 = 57...62
63. 6390 ÷ 85 = 75...15
64. 6407 ÷ 14 = 457...9
65. 5614 ÷ 63 = 89...7
66. 1968 ÷ 57 = 34...30
67. 4299 ÷ 75 = 57...24
68. 4513 ÷ 59 = 76...29
69. 2514 ÷ 24 = 104...18
70. 9003 ÷ 20 = 450...3
71. 1688 ÷ 21 = 80...8
72. 7491 ÷ 42 = 178...15
73. 4671 ÷ 62 = 75...21
74. 4378 ÷ 68 = 64...26
75. 8779 ÷ 94 = 93...37
76. 3613 ÷ 13 = 277...12
77. 9174 ÷ 94 = 97...56
78. 8344 ÷ 69 = 120...64
79. 6341 ÷ 29 = 218...19
80. 9570 ÷ 25 = 382...20

## 3부: 다섯자리수 ÷ 세자리수 (81-100번)

81. 28385 ÷ 181 = 156...149
82. 47997 ÷ 127 = 377...118
83. 94457 ÷ 962 = 98...181
84. 47467 ÷ 514 = 92...179
85. 48763 ÷ 676 = 72...91
86. 38568 ÷ 215 = 179...83
87. 83927 ÷ 274 = 306...83
88. 26263 ÷ 593 = 44...171
89. 51624 ÷ 629 = 82...46
90. 37415 ÷ 345 = 108...155
91. 69953 ÷ 113 = 619...6
92. 17355 ÷ 234 = 74...39
93. 47442 ÷ 872 = 54...354
94. 85939 ÷ 790 = 108...619
95. 39546 ÷ 162 = 244...18
96. 10593 ÷ 442 = 23...427
97. 93299 ÷ 621 = 150...149
98. 94031 ÷ 739 = 127...178
99. 30074 ÷ 811 = 37...67
100. 40740 ÷ 532 = 76...308
